Cocktail Name,Ingredients,Preparation,Image
Monkey Gland,"Grenadine, Orange juice, Benedictine, Gin, ","Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg
Monkey Wrench,"Bitters, Grapefruit juice, Light rum, ",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/bw2noj1582473243.jpg
Midnight Manx,"Coffee, Heavy cream, Goldschlager, Baileys irish cream, Kahlua, ","Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",https://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg
Mother's Milk,"Milk, Butterscotch schnapps, Goldschlager, ","Shake over ice, strain. Serves two.",https://www.thecocktaildb.com/images/media/drink/7stuuh1504885399.jpg
Midnight Mint,"Cream, White Creme de Menthe, Baileys irish cream, ","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass.",https://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg
Mary Pickford,"Maraschino cherry, Grenadine, Maraschino liqueur, Pineapple juice, Light rum, ",Shake and strain into a chilled large cocktail glass,https://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg
Negroni,"Sweet Vermouth, Campari, Gin, ","Stir into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg
New York Sour,"Cherry, Lemon, Red wine, Sugar, Lemon, Blended whiskey, ","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",https://www.thecocktaildb.com/images/media/drink/61wgch1504882795.jpg
Nutty Irishman,"Milk, Frangelico, Baileys irish cream, ",Serve over ice,https://www.thecocktaildb.com/images/media/drink/xspupx1441248014.jpg
National Aquarium,"Lemon-lime soda, Sour mix, Blue Curacao, Gin, Vodka, Rum, ",Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,https://www.thecocktaildb.com/images/media/drink/dlw0om1503565021.jpg
New York Lemonade,"Club soda, Lemon juice, Grand Marnier, Absolut Citron, ",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.,https://www.thecocktaildb.com/images/media/drink/b3n0ge1503565473.jpg
Orgasm,"Light cream, Vodka, Triple sec, Amaretto, Creme de Cacao, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg
Old Pal,"Dry Vermouth, Campari, Rye whiskey, ","Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.",https://www.thecocktaildb.com/images/media/drink/x03td31521761009.jpg
Orange Whip,"Ice, Cream, Vodka, Rum, Orange juice, ",Pour ingredients over ice and stir.,https://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg
Orange Oasis,"Ginger ale, Orange juice, Gin, Cherry brandy, ","Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/su1olx1582473812.jpg
Orange Crush,"Orange juice, Triple sec, Vodka, ",Add all ingredients to tumbler-Pour as shot,https://www.thecocktaildb.com/images/media/drink/zvoics1504885926.jpg
Old Fashioned,"Water, Sugar, Angostura bitters, Bourbon, ","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
Oreo Mudslide,"Oreo cookie, Vanilla ice-cream, Baileys irish cream, Kahlua, Vodka, ","Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",https://www.thecocktaildb.com/images/media/drink/tpwwut1468925017.jpg
Orange Push-up,"Sour mix, Orange juice, Grenadine, Spiced rum, ",Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,https://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg
Oatmeal Cookie,"Goldschlager, Jagermeister, Butterscotch schnapps, Bailey, Kahlua, ","Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie.",https://www.thecocktaildb.com/images/media/drink/bsvmlg1515792693.jpg
Orange Rosemary Collins,"Orange Peel, Rosemary, Soda Water, Rosemary Syrup, Lemon Juice, Orange Juice, Gin, ",Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.,https://www.thecocktaildb.com/images/media/drink/mokcas1604179977.jpg
Owen's Grandmother's Revenge,"Ice, Lemonade, Beer, Whiskey, ",Add ingredients and mix in blender.,https://www.thecocktaildb.com/images/media/drink/0wt4uo1503565321.jpg
Paloma,"Tequila, Grape Soda, ",Stir together and serve over ice.,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg
Pink Gin,"Gin, Bitters, ","Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",https://www.thecocktaildb.com/images/media/drink/qyr51e1504888618.jpg
Paradise,"Orange Juice, Apricot Brandy, Gin, ",Shake together over ice. Strain into cocktail glass and serve chilled.,https://www.thecocktaildb.com/images/media/drink/ejozd71504351060.jpg
Pink Lady,"Egg white, Light cream, Grenadine, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/5ia6j21504887829.jpg
Pegu Club,"Orange Bitters, Angostura Bitters, Lime Juice, Orange Curacao, Gin, ","Shake, strain, up, cocktail glass",https://www.thecocktaildb.com/images/media/drink/jfkemm1513703902.jpg
Pisco Sour,"Ice, Sugar, Lemon juice, Pisco, ","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]",https://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg
Porto flip,"Egg Yolk, Port, Brandy, ","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg
Penicillin,"Islay single malt Scotch, Ginger Syrup, Honey syrup, Lemon Juice, Blended Scotch, ","Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",https://www.thecocktaildb.com/images/media/drink/hc9b1a1521853096.jpg
Pina Colada,"Pineapple, Coconut milk, Light rum, ","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg
Pink Penocha,"Cranberry juice, Orange juice, Peach schnapps, Vodka, Everclear, ",mix all ingredients into bowl keep iced stir frequently,https://www.thecocktaildb.com/images/media/drink/6vigjx1503564007.jpg
Pure Passion,"Mint, Peach Bitters, Passion fruit syrup, Lime Juice, Passoa, Rum, ",Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,https://www.thecocktaildb.com/images/media/drink/4tymma1604179273.jpg
Popped cherry,"Orange juice, Cranberry juice, Cherry liqueur, Vodka, ",Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,https://www.thecocktaildb.com/images/media/drink/sxvrwv1473344825.jpg
